Initialized VMGNet with dimx: 6, dimy: 1, dimh: (50,), N: 277, N_valid: 277, nonlinearity: relu, learning_rate: 0.001, seed: 3, iterations: 2000, batch_size: 5, priors: (0.0, 0.0, 0.0), layer_type: <class 'matrix_layers.MatrixGaussDiagLayerLearnP'>, task_type: regression, sampling_pred: True, type_init: he2, n_pseudo: 5, upper_bound_noise: 0.005
Epoch 200/2000, train: ['-2.79206', '-2.47674', '-0.21583', '-0.05268', '-0.02165', '-0.02515', '1.63951'], test: ['1.54310', '-2.28816'], dt: 0.10073
Epoch 400/2000, train: ['-2.52040', '-2.11844', '-0.24324', '-0.11870', '-0.02626', '-0.01376', '1.10149'], test: ['1.01273', '-1.84991'], dt: 0.09800
Epoch 600/2000, train: ['-2.36124', '-1.90172', '-0.27200', '-0.15304', '-0.02706', '-0.00742', '0.83014'], test: ['1.00788', '-1.65780'], dt: 0.08270
Epoch 800/2000, train: ['-2.23808', '-1.73333', '-0.29667', '-0.17649', '-0.02754', '-0.00405', '0.69976'], test: ['0.70216', '-1.46808'], dt: 0.08579
Epoch 1000/2000, train: ['-2.21210', '-1.68975', '-0.30413', '-0.18736', '-0.02819', '-0.00267', '0.67424'], test: ['1.02954', '-1.42774'], dt: 0.10893
Epoch 1200/2000, train: ['-2.24072', '-1.70956', '-0.30809', '-0.19160', '-0.02879', '-0.00267', '0.65545'], test: ['0.74288', '-1.37024'], dt: 0.09461
Epoch 1400/2000, train: ['-2.04622', '-1.52035', '-0.30149', '-0.19246', '-0.02944', '-0.00248', '0.63849'], test: ['0.52154', '-1.28929'], dt: 0.08218
Epoch 1600/2000, train: ['-2.13968', '-1.60957', '-0.30200', '-0.19498', '-0.03080', '-0.00233', '0.62100'], test: ['0.75458', '-1.32251'], dt: 0.08184
Epoch 1800/2000, train: ['-2.03896', '-1.50988', '-0.29967', '-0.19469', '-0.03234', '-0.00239', '0.61263'], test: ['0.75931', '-1.31538'], dt: 0.11436
Epoch 2000/2000, train: ['-2.05161', '-1.52659', '-0.29285', '-0.19561', '-0.03455', '-0.00201', '0.60567'], test: ['1.05878', '-1.43491'], dt: 0.15385
Initialized VMGNet with dimx: 784, dimy: 10, dimh: (150, 150, 150), N: 50000, N_valid: 50000, nonlinearity: relu, learning_rate: 0.001, seed: 1234, iterations: 100, batch_size: 100, priors: (0.0, 0.0, 0.0), layer_type: <class 'matrix_layers.MatrixGaussDiagLayerFF'>, task_type: classification, sampling_pred: False, type_init: he2, n_pseudo: 50, upper_bound_noise: 0.01
Epoch 1/100, train: ['-0.58224', '-0.54163', '-0.04061', '-0.00000', '6.38400'], valid: ['5.75000'], test: ['6.15000'], dt: 24.18867
Epoch 19/100, train: ['-0.07095', '-0.06758', '-0.00337', '-0.00000', '0.51000'], valid: ['1.64000'], test: ['1.45000'], dt: 23.64341
Epoch 20/100, train: ['-0.06999', '-0.06664', '-0.00335', '-0.00000', '0.47800'], valid: ['1.56000'], test: ['1.38000'], dt: 25.07042
Epoch 21/100, train: ['-0.06796', '-0.06470', '-0.00326', '-0.00000', '0.46200'], valid: ['1.67000'], test: ['1.48000'], dt: 30.50953
Epoch 22/100, train: ['-0.06441', '-0.06127', '-0.00313', '-0.00000', '0.43800'], valid: ['1.60000'], test: ['1.43000'], dt: 26.30870
Epoch 23/100, train: ['-0.06079', '-0.05770', '-0.00309', '-0.00000', '0.39200'], valid: ['1.61000'], test: ['1.39000'], dt: 25.05545
Epoch 24/100, train: ['-0.05942', '-0.05644', '-0.00299', '-0.00000', '0.34400'], valid: ['1.61000'], test: ['1.41000'], dt: 26.56477
Epoch 25/100, train: ['-0.05858', '-0.05560', '-0.00298', '-0.00000', '0.29800'], valid: ['1.59000'], test: ['1.35000'], dt: 25.24611
Epoch 26/100, train: ['-0.05949', '-0.05660', '-0.00289', '-0.00000', '0.30400'], valid: ['1.56000'], test: ['1.27000'], dt: 23.55327
Epoch 27/100, train: ['-0.05423', '-0.05141', '-0.00282', '-0.00000', '0.28000'], valid: ['1.55000'], test: ['1.27000'], dt: 22.94369
Epoch 28/100, train: ['-0.05312', '-0.05039', '-0.00273', '-0.00000', '0.25200'], valid: ['1.55000'], test: ['1.28000'], dt: 24.09615
Epoch 29/100, train: ['-0.04980', '-0.04718', '-0.00263', '-0.00000', '0.24200'], valid: ['1.57000'], test: ['1.28000'], dt: 24.29344
Epoch 30/100, train: ['-0.04756', '-0.04500', '-0.00256', '-0.00000', '0.24000'], valid: ['1.52000'], test: ['1.27000'], dt: 24.83482
Epoch 31/100, train: ['-0.04900', '-0.04643', '-0.00258', '-0.00000', '0.20800'], valid: ['1.52000'], test: ['1.27000'], dt: 26.07664
Epoch 32/100, train: ['-0.05051', '-0.04792', '-0.00259', '-0.00000', '0.19600'], valid: ['1.60000'], test: ['1.23000'], dt: 26.03991
Epoch 33/100, train: ['-0.04576', '-0.04327', '-0.00248', '-0.00000', '0.18800'], valid: ['1.58000'], test: ['1.28000'], dt: 25.39614
Epoch 34/100, train: ['-0.04437', '-0.04196', '-0.00241', '-0.00000', '0.17800'], valid: ['1.54000'], test: ['1.26000'], dt: 24.14851
Epoch 35/100, train: ['-0.04235', '-0.03996', '-0.00240', '-0.00000', '0.15200'], valid: ['1.60000'], test: ['1.29000'], dt: 22.74492
Epoch 36/100, train: ['-0.04253', '-0.04019', '-0.00234', '-0.00000', '0.14000'], valid: ['1.54000'], test: ['1.26000'], dt: 22.53512
Epoch 37/100, train: ['-0.03936', '-0.03707', '-0.00229', '-0.00000', '0.13600'], valid: ['1.52000'], test: ['1.27000'], dt: 22.45835
Epoch 38/100, train: ['-0.03849', '-0.03628', '-0.00221', '-0.00000', '0.13600'], valid: ['1.50000'], test: ['1.25000'], dt: 22.59038
Epoch 39/100, train: ['-0.03971', '-0.03751', '-0.00220', '-0.00000', '0.11400'], valid: ['1.47000'], test: ['1.24000'], dt: 22.45601
Epoch 40/100, train: ['-0.03700', '-0.03486', '-0.00213', '-0.00000', '0.09200'], valid: ['1.49000'], test: ['1.22000'], dt: 22.46677
Epoch 41/100, train: ['-0.03823', '-0.03610', '-0.00213', '-0.00000', '0.09000'], valid: ['1.54000'], test: ['1.27000'], dt: 22.47595
Epoch 42/100, train: ['-0.03583', '-0.03376', '-0.00207', '-0.00000', '0.08400'], valid: ['1.55000'], test: ['1.24000'], dt: 22.49804
Epoch 43/100, train: ['-0.03397', '-0.03194', '-0.00203', '-0.00000', '0.08200'], valid: ['1.48000'], test: ['1.29000'], dt: 22.56622
Epoch 44/100, train: ['-0.03593', '-0.03389', '-0.00204', '-0.00000', '0.08200'], valid: ['1.52000'], test: ['1.25000'], dt: 22.41630
Epoch 45/100, train: ['-0.03251', '-0.03051', '-0.00199', '-0.00000', '0.07600'], valid: ['1.48000'], test: ['1.26000'], dt: 22.42731
Epoch 46/100, train: ['-0.03446', '-0.03244', '-0.00202', '-0.00000', '0.07400'], valid: ['1.45000'], test: ['1.29000'], dt: 22.42418
Epoch 47/100, train: ['-0.03148', '-0.02951', '-0.00197', '-0.00000', '0.07200'], valid: ['1.51000'], test: ['1.30000'], dt: 22.54511
Epoch 48/100, train: ['-0.03077', '-0.02885', '-0.00192', '-0.00000', '0.06200'], valid: ['1.51000'], test: ['1.32000'], dt: 22.41730
Epoch 49/100, train: ['-0.03141', '-0.02951', '-0.00190', '-0.00000', '0.06000'], valid: ['1.50000'], test: ['1.31000'], dt: 22.46449
Epoch 50/100, train: ['-0.02799', '-0.02620', '-0.00179', '-0.00000', '0.04400'], valid: ['1.41000'], test: ['1.28000'], dt: 22.45624
Epoch 51/100, train: ['-0.03025', '-0.02845', '-0.00180', '-0.00000', '0.04800'], valid: ['1.51000'], test: ['1.24000'], dt: 22.52866
Epoch 52/100, train: ['-0.02953', '-0.02773', '-0.00180', '-0.00000', '0.04800'], valid: ['1.49000'], test: ['1.22000'], dt: 22.62852
Epoch 53/100, train: ['-0.03057', '-0.02876', '-0.00181', '-0.00000', '0.04400'], valid: ['1.50000'], test: ['1.25000'], dt: 22.55450
Epoch 54/100, train: ['-0.02718', '-0.02542', '-0.00176', '-0.00000', '0.04000'], valid: ['1.45000'], test: ['1.25000'], dt: 22.49176
Epoch 55/100, train: ['-0.02814', '-0.02641', '-0.00173', '-0.00000', '0.04400'], valid: ['1.45000'], test: ['1.19000'], dt: 22.58814
Epoch 56/100, train: ['-0.02727', '-0.02557', '-0.00170', '-0.00000', '0.04000'], valid: ['1.45000'], test: ['1.19000'], dt: 22.45661
Epoch 57/100, train: ['-0.02624', '-0.02461', '-0.00164', '-0.00000', '0.03600'], valid: ['1.42000'], test: ['1.22000'], dt: 22.47240
Epoch 58/100, train: ['-0.02600', '-0.02436', '-0.00164', '-0.00000', '0.03800'], valid: ['1.44000'], test: ['1.24000'], dt: 22.51795
Epoch 59/100, train: ['-0.02551', '-0.02387', '-0.00164', '-0.00000', '0.02800'], valid: ['1.41000'], test: ['1.27000'], dt: 22.54266
Epoch 60/100, train: ['-0.02330', '-0.02171', '-0.00159', '-0.00000', '0.02800'], valid: ['1.47000'], test: ['1.32000'], dt: 22.68824
Epoch 61/100, train: ['-0.02358', '-0.02198', '-0.00160', '-0.00000', '0.03000'], valid: ['1.42000'], test: ['1.33000'], dt: 22.86761
Epoch 62/100, train: ['-0.02538', '-0.02377', '-0.00161', '-0.00000', '0.02600'], valid: ['1.41000'], test: ['1.31000'], dt: 22.95197
Epoch 63/100, train: ['-0.02428', '-0.02270', '-0.00158', '-0.00000', '0.02800'], valid: ['1.34000'], test: ['1.37000'], dt: 22.46053
Epoch 64/100, train: ['-0.02338', '-0.02184', '-0.00155', '-0.00000', '0.01600'], valid: ['1.34000'], test: ['1.26000'], dt: 22.53910
Epoch 65/100, train: ['-0.02300', '-0.02148', '-0.00152', '-0.00000', '0.01600'], valid: ['1.38000'], test: ['1.21000'], dt: 22.47597
Epoch 66/100, train: ['-0.02352', '-0.02196', '-0.00156', '-0.00000', '0.01800'], valid: ['1.44000'], test: ['1.23000'], dt: 22.45350
Epoch 67/100, train: ['-0.02012', '-0.01867', '-0.00144', '-0.00000', '0.01600'], valid: ['1.40000'], test: ['1.23000'], dt: 22.48232
Epoch 68/100, train: ['-0.02329', '-0.02183', '-0.00145', '-0.00000', '0.01000'], valid: ['1.36000'], test: ['1.21000'], dt: 22.50947
Epoch 69/100, train: ['-0.02157', '-0.02013', '-0.00144', '-0.00000', '0.01600'], valid: ['1.36000'], test: ['1.29000'], dt: 22.45404
Epoch 70/100, train: ['-0.01999', '-0.01859', '-0.00141', '-0.00000', '0.01000'], valid: ['1.35000'], test: ['1.28000'], dt: 22.55928
Epoch 71/100, train: ['-0.02311', '-0.02166', '-0.00145', '-0.00000', '0.01200'], valid: ['1.41000'], test: ['1.25000'], dt: 22.46581
Epoch 72/100, train: ['-0.02018', '-0.01879', '-0.00139', '-0.00000', '0.01200'], valid: ['1.39000'], test: ['1.26000'], dt: 22.62499
Epoch 73/100, train: ['-0.01818', '-0.01680', '-0.00138', '-0.00000', '0.01200'], valid: ['1.39000'], test: ['1.22000'], dt: 22.66806
Epoch 74/100, train: ['-0.02136', '-0.01998', '-0.00139', '-0.00000', '0.01400'], valid: ['1.44000'], test: ['1.19000'], dt: 22.60198
Epoch 75/100, train: ['-0.02001', '-0.01864', '-0.00137', '-0.00000', '0.01000'], valid: ['1.45000'], test: ['1.18000'], dt: 22.48144
Epoch 76/100, train: ['-0.02009', '-0.01872', '-0.00137', '-0.00000', '0.01000'], valid: ['1.44000'], test: ['1.22000'], dt: 22.43900
Epoch 77/100, train: ['-0.01851', '-0.01723', '-0.00129', '-0.00000', '0.01200'], valid: ['1.43000'], test: ['1.23000'], dt: 22.40448
Epoch 78/100, train: ['-0.01893', '-0.01765', '-0.00128', '-0.00000', '0.01200'], valid: ['1.43000'], test: ['1.25000'], dt: 22.45092
Epoch 79/100, train: ['-0.01859', '-0.01729', '-0.00130', '-0.00000', '0.01400'], valid: ['1.39000'], test: ['1.26000'], dt: 22.45037
Epoch 80/100, train: ['-0.01939', '-0.01806', '-0.00133', '-0.00000', '0.01000'], valid: ['1.39000'], test: ['1.28000'], dt: 22.55746
Epoch 81/100, train: ['-0.01756', '-0.01622', '-0.00133', '-0.00000', '0.00800'], valid: ['1.35000'], test: ['1.29000'], dt: 22.46875
Epoch 82/100, train: ['-0.01747', '-0.01619', '-0.00127', '-0.00000', '0.00800'], valid: ['1.39000'], test: ['1.37000'], dt: 22.41952
Epoch 83/100, train: ['-0.01824', '-0.01701', '-0.00123', '-0.00000', '0.00600'], valid: ['1.40000'], test: ['1.33000'], dt: 22.40912
Epoch 84/100, train: ['-0.01805', '-0.01678', '-0.00127', '-0.00000', '0.00800'], valid: ['1.48000'], test: ['1.33000'], dt: 22.45495
Epoch 85/100, train: ['-0.01858', '-0.01736', '-0.00122', '-0.00000', '0.00600'], valid: ['1.44000'], test: ['1.29000'], dt: 22.58540
Epoch 86/100, train: ['-0.01583', '-0.01460', '-0.00123', '-0.00000', '0.00800'], valid: ['1.40000'], test: ['1.29000'], dt: 22.57024
Epoch 87/100, train: ['-0.01806', '-0.01681', '-0.00125', '-0.00000', '0.00600'], valid: ['1.38000'], test: ['1.20000'], dt: 22.98556
Epoch 88/100, train: ['-0.01534', '-0.01410', '-0.00124', '-0.00000', '0.00400'], valid: ['1.31000'], test: ['1.26000'], dt: 22.63236
Epoch 89/100, train: ['-0.01669', '-0.01551', '-0.00118', '-0.00000', '0.00600'], valid: ['1.35000'], test: ['1.28000'], dt: 22.42066
Epoch 90/100, train: ['-0.01578', '-0.01463', '-0.00115', '-0.00000', '0.00600'], valid: ['1.40000'], test: ['1.22000'], dt: 22.44140
Epoch 91/100, train: ['-0.01458', '-0.01344', '-0.00114', '-0.00000', '0.00400'], valid: ['1.37000'], test: ['1.31000'], dt: 22.53995
Epoch 92/100, train: ['-0.01766', '-0.01643', '-0.00123', '-0.00000', '0.00200'], valid: ['1.44000'], test: ['1.28000'], dt: 22.43710
Epoch 93/100, train: ['-0.01805', '-0.01677', '-0.00127', '-0.00000', '0.00200'], valid: ['1.40000'], test: ['1.23000'], dt: 22.41855
Epoch 94/100, train: ['-0.01423', '-0.01310', '-0.00113', '-0.00000', '0.00400'], valid: ['1.47000'], test: ['1.26000'], dt: 22.49242
Epoch 95/100, train: ['-0.01626', '-0.01505', '-0.00121', '-0.00000', '0.00400'], valid: ['1.51000'], test: ['1.26000'], dt: 22.54435
Epoch 96/100, train: ['-0.01673', '-0.01552', '-0.00121', '-0.00000', '0.00400'], valid: ['1.52000'], test: ['1.24000'], dt: 22.58843
Epoch 97/100, train: ['-0.01458', '-0.01345', '-0.00114', '-0.00000', '0.00400'], valid: ['1.55000'], test: ['1.25000'], dt: 22.46317
Epoch 98/100, train: ['-0.01421', '-0.01307', '-0.00113', '-0.00000', '0.00200'], valid: ['1.51000'], test: ['1.22000'], dt: 22.45800
Epoch 99/100, train: ['-0.01441', '-0.01327', '-0.00114', '-0.00000', '0.00200'], valid: ['1.51000'], test: ['1.14000'], dt: 22.46247
Epoch 100/100, train: ['-0.01504', '-0.01383', '-0.00121', '-0.00000', '0.00200'], valid: ['1.39000'], test: ['1.09000'], dt: 22.56208
